date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
2016-01-31,18.0,7.0,9.0,6.0,2.0,21.0,10.0,18.0,0.0,1.0,3.0,0.0,0.0,5.0,7.0,6.0,4.0,4.0,17.0,4.0,6.0,23.0,19.0,25.0,39.0,16.0,8.0,20.0,26.0,8.0,6.0,13.0,4.0,2.0,4.0,0.0,2.0,9.0,7.0,9.0,1.0,14.0,16.0,13.0,1.0,13.0,1.0,1.0,11.0,1.0,3.0,8.0,9.0,3.0,1.0,3.0,3.0,9.0,1.0,6.0,17.0,5.0,4.0,0.0,13.0,17.0,24.0,13.0,16.0,7.0,23.0,1.0,4.0,1.0,9.0,0.0,1.0
2016-02-01,16.0,8.0,12.0,7.0,4.0,16.0,14.0,23.0,1.0,4.0,4.0,3.0,4.0,4.0,7.0,9.0,9.0,1.0,12.0,7.0,9.0,12.0,26.0,29.0,40.0,27.0,15.0,32.0,26.0,16.0,7.0,19.0,4.0,4.0,5.0,2.0,1.0,11.0,6.0,10.0,2.0,13.0,25.0,30.0,4.0,15.0,1.0,4.0,22.0,6.0,2.0,4.0,12.0,4.0,4.0,7.0,4.0,13.0,6.0,7.0,5.0,7.0,8.0,1.0,4.0,11.0,23.0,15.0,23.0,11.0,22.0,4.0,14.0,2.0,6.0,2.0,8.0
2016-02-02,6.0,9.0,6.0,1.0,2.0,13.0,8.0,26.0,0.0,4.0,2.0,1.0,3.0,6.0,9.0,9.0,7.0,2.0,17.0,4.0,5.0,14.0,16.0,20.0,32.0,14.0,14.0,20.0,14.0,13.0,2.0,25.0,2.0,3.0,6.0,1.0,2.0,1.0,4.0,9.0,2.0,8.0,21.0,16.0,3.0,9.0,2.0,4.0,10.0,4.0,3.0,5.0,7.0,1.0,4.0,5.0,6.0,5.0,4.0,5.0,12.0,4.0,2.0,4.0,9.0,21.0,11.0,17.0,16.0,6.0,11.0,2.0,6.0,1.0,3.0,3.0,3.0
2016-02-03,6.0,3.0,5.0,6.0,2.0,8.0,7.0,27.0,0.0,11.0,2.0,0.0,5.0,15.0,9.0,15.0,4.0,4.0,11.0,1.0,8.0,13.0,18.0,15.0,43.0,18.0,13.0,20.0,14.0,14.0,6.0,25.0,7.0,2.0,12.0,0.0,0.0,6.0,3.0,7.0,0.0,9.0,28.0,15.0,1.0,13.0,0.0,6.0,16.0,3.0,8.0,1.0,11.0,3.0,0.0,3.0,3.0,3.0,2.0,8.0,14.0,2.0,9.0,2.0,6.0,9.0,16.0,21.0,17.0,7.0,29.0,1.0,8.0,3.0,3.0,3.0,5.0
2016-02-04,8.0,9.0,7.0,5.0,3.0,12.0,7.0,18.0,0.0,5.0,4.0,4.0,2.0,4.0,7.0,9.0,4.0,2.0,15.0,2.0,4.0,8.0,13.0,16.0,37.0,18.0,7.0,31.0,24.0,16.0,6.0,19.0,3.0,5.0,8.0,1.0,1.0,5.0,4.0,4.0,1.0,17.0,12.0,16.0,8.0,13.0,0.0,1.0,18.0,5.0,3.0,2.0,16.0,5.0,1.0,7.0,2.0,6.0,2.0,4.0,7.0,4.0,12.0,1.0,5.0,19.0,14.0,21.0,22.0,3.0,30.0,3.0,14.0,1.0,4.0,5.0,2.0
2016-02-05,9.0,7.0,6.0,6.0,2.0,18.0,14.0,31.0,3.0,3.0,2.0,3.0,3.0,5.0,9.0,5.0,5.0,2.0,11.0,8.0,3.0,14.0,12.0,16.0,36.0,14.0,16.0,22.0,13.0,19.0,10.0,28.0,5.0,2.0,6.0,0.0,2.0,6.0,5.0,8.0,2.0,5.0,18.0,14.0,6.0,16.0,0.0,3.0,14.0,1.0,7.0,1.0,9.0,4.0,4.0,6.0,1.0,12.0,3.0,7.0,13.0,3.0,2.0,2.0,3.0,15.0,16.0,14.0,18.0,6.0,20.0,1.0,6.0,1.0,5.0,3.0,3.0
2016-02-06,5.0,13.0,3.0,6.0,5.0,23.0,13.0,27.0,1.0,2.0,0.0,1.0,4.0,11.0,7.0,12.0,5.0,7.0,17.0,3.0,8.0,16.0,31.0,23.0,49.0,20.0,15.0,25.0,17.0,15.0,4.0,25.0,5.0,3.0,8.0,3.0,1.0,5.0,2.0,6.0,2.0,12.0,21.0,11.0,4.0,10.0,1.0,4.0,8.0,2.0,4.0,2.0,11.0,2.0,0.0,7.0,3.0,10.0,1.0,5.0,10.0,4.0,8.0,5.0,4.0,8.0,12.0,20.0,15.0,2.0,13.0,0.0,10.0,1.0,11.0,0.0,2.0
2016-02-07,14.0,3.0,4.0,5.0,1.0,19.0,13.0,26.0,0.0,7.0,4.0,2.0,1.0,6.0,7.0,11.0,3.0,2.0,11.0,7.0,5.0,14.0,17.0,19.0,28.0,15.0,20.0,17.0,14.0,12.0,7.0,16.0,7.0,1.0,2.0,1.0,1.0,6.0,6.0,13.0,0.0,14.0,12.0,3.0,4.0,5.0,0.0,4.0,15.0,5.0,7.0,6.0,9.0,0.0,2.0,6.0,0.0,6.0,3.0,5.0,12.0,1.0,7.0,2.0,5.0,7.0,13.0,17.0,12.0,13.0,24.0,2.0,7.0,2.0,4.0,5.0,6.0
2016-02-08,8.0,6.0,13.0,6.0,0.0,14.0,8.0,27.0,0.0,3.0,4.0,3.0,3.0,5.0,6.0,10.0,5.0,1.0,8.0,8.0,9.0,10.0,17.0,12.0,37.0,7.0,11.0,13.0,15.0,11.0,2.0,22.0,7.0,4.0,6.0,1.0,2.0,10.0,5.0,7.0,6.0,6.0,16.0,12.0,6.0,14.0,1.0,5.0,9.0,5.0,4.0,2.0,6.0,2.0,0.0,7.0,4.0,3.0,2.0,2.0,10.0,4.0,5.0,0.0,2.0,6.0,11.0,14.0,21.0,6.0,16.0,1.0,4.0,1.0,2.0,2.0,3.0
2016-02-09,6.0,9.0,10.0,3.0,1.0,11.0,4.0,20.0,2.0,1.0,2.0,0.0,1.0,8.0,10.0,12.0,3.0,0.0,8.0,3.0,2.0,12.0,17.0,16.0,26.0,9.0,12.0,32.0,13.0,9.0,6.0,17.0,2.0,3.0,5.0,3.0,0.0,4.0,3.0,8.0,1.0,5.0,17.0,21.0,5.0,8.0,0.0,1.0,10.0,5.0,3.0,6.0,3.0,5.0,1.0,4.0,2.0,4.0,2.0,3.0,8.0,2.0,2.0,4.0,5.0,8.0,20.0,14.0,8.0,6.0,18.0,3.0,8.0,0.0,5.0,4.0,7.0
2016-02-10,4.0,10.0,6.0,4.0,1.0,12.0,11.0,12.0,1.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,11.0,7.0,2.0,10.0,14.0,21.0,37.0,15.0,19.0,19.0,16.0,15.0,4.0,26.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,6.0,1.0,7.0,15.0,10.0,2.0,18.0,1.0,2.0,6.0,0.0,6.0,6.0,13.0,3.0,1.0,3.0,7.0,7.0,3.0,4.0,9.0,1.0,2.0,3.0,5.0,14.0,17.0,16.0,13.0,7.0,11.0,1.0,3.0,4.0,6.0,0.0,3.0
2016-02-11,4.0,5.0,5.0,7.0,2.0,13.0,7.0,21.0,2.0,3.0,2.0,0.0,5.0,5.0,7.0,9.0,2.0,0.0,12.0,5.0,5.0,10.0,25.0,18.0,40.0,11.0,6.0,21.0,16.0,12.0,7.0,15.0,0.0,2.0,7.0,1.0,3.0,2.0,5.0,3.0,3.0,6.0,14.0,13.0,4.0,16.0,1.0,2.0,10.0,2.0,3.0,5.0,8.0,8.0,1.0,4.0,1.0,6.0,2.0,2.0,12.0,3.0,6.0,2.0,8.0,13.0,10.0,20.0,12.0,5.0,23.0,0.0,12.0,1.0,7.0,3.0,4.0
